PICKUP_ZONE,LOCATIONID,TOTAL_TRIPS,P50_DURATION,P90_DURATION,AVG_DURATION
Upper East Side South,237,31571531,0.148333000,0.366944000,0.187812762698
Midtown Center,161,29381386,0.194167000,0.428056000,0.234942708648
Upper East Side North,236,28775834,0.153333000,0.384167000,0.193659600353
Penn Station/Madison Sq West,186,25953922,0.210000000,0.454167000,0.248140486708
Midtown East,162,25940271,0.190278000,0.410278000,0.226063667603
Times Sq/Theatre District,230,24865333,0.199167000,0.483333000,0.251911395129
Murray Hill,170,24096774,0.182500000,0.397500000,0.217549496564
Union Sq,234,23555843,0.180000000,0.407222000,0.218740770466
Clinton East,48,23394445,0.173611000,0.412500000,0.216510044424
Lincoln Square East,142,22643428,0.169444000,0.385556000,0.207695126466
JFK Airport,132,22120230,0.646389000,1.098611000,0.671914379694
East Village,79,21804279,0.182500000,0.395833000,0.215027598393
Midtown North,163,20555089,0.190000000,0.439167000,0.235448036233
LaGuardia Airport,138,20016314,0.480556000,0.841111000,0.520395546547
Upper West Side South,239,19730972,0.155833000,0.383056000,0.195712571394
East Chelsea,68,18820913,0.194167000,0.433056000,0.232278020613
Gramercy,107,18281473,0.172778000,0.387778000,0.208863062343
Lenox Hill West,141,18132883,0.150000000,0.363611000,0.186476754679
Midtown South,164,18092314,0.183333000,0.414444000,0.223142798049
West Village,249,16103508,0.176944000,0.409167000,0.215899948678
