YEAR,PICKUP_HOUR,TOTAL_TRIPS,AVG_FARE
2015,0,6466759,16.495942937
2015,1,4829992,15.829776894
2015,2,3554670,15.636495934
2015,3,2611699,16.764960208
2015,4,1981293,18.17434224
2015,5,1747583,20.102532189
2015,6,3531013,16.555236019
2015,7,5912008,15.104078953
2015,8,7306341,15.175456782
2015,9,7498930,15.105342267
2015,10,7357387,15.261649726
2015,11,7611637,15.404294896
2015,12,7934416,15.439283826
2015,13,7922943,15.954836267
2015,14,8252579,16.367008585
2015,15,8020647,16.555554827
2015,16,7203609,17.029439785
2015,17,8460628,16.485809563
2015,18,10007227,15.718800717
2015,19,10283053,15.663335515
2015,20,9683343,15.332343879
2015,21,9593552,15.744592015
2015,22,9245414,16.180474494
2015,23,8165611,16.607146882
2016,0,5506761,16.563624189
2016,1,4062080,16.083740081
2016,2,2983792,15.657842678
2016,3,2205354,16.271249618
2016,4,1712019,18.772834414
2016,5,1569320,20.145188598
2016,6,3240889,16.411875427
2016,7,5376413,15.178235262
2016,8,6631182,15.331978094
2016,9,6722743,15.482101983
2016,10,6556306,15.634755593
2016,11,6795714,15.693703589
2016,12,7139017,15.704834426
2016,13,7165119,16.178096128
2016,14,7521648,16.703003422
2016,15,7355623,16.680898608
2016,16,6767730,17.56567235
2016,17,7863977,16.923118945
2016,18,9100132,15.961760468
2016,19,9128042,15.537620174
2016,20,8526207,15.703396689
2016,21,8401170,16.015302777
2016,22,8063098,16.573640072
2016,23,7034208,16.884120302
2017,0,4289972,16.533013756
2017,1,3137295,15.848832937
2017,2,2274581,15.705972287
2017,3,1658988,15.995394481
2017,4,1295644,18.20211562
2017,5,1273428,19.818728935
2017,6,2720813,16.019393659
2017,7,4552205,14.933197145
2017,8,5668703,15.115973589
2017,9,5769739,15.318381062
2017,10,5686087,15.573769079
2017,11,5916254,15.596849824
2017,12,6220831,15.729205986
2017,13,6266634,16.358466828
2017,14,6604012,16.622352001
2017,15,6572495,16.539609984
2017,16,6141434,17.679546731
2017,17,6972751,16.985872658
2017,18,7914664,15.988088082
2017,19,7774488,15.630818429
2017,20,7126061,15.667858716
2017,21,7012349,16.108311569
2017,22,6672619,16.690476462
2017,23,5632355,16.825084866
2018,0,3473689,16.689124568
2018,1,2422108,16.149761687
2018,2,1729705,15.37416323
2018,3,1255578,15.827192385
2018,4,1001847,18.322860297
2018,5,1099868,20.714140033
2018,6,2475213,16.281179317
2018,7,4120226,15.474736189
2018,8,5125519,15.591333576
2018,9,5258303,15.728983058
2018,10,5248214,15.832160476
2018,11,5435812,15.903493232
2018,12,5749938,16.157670276
2018,13,5798232,16.50894364
2018,14,6094879,16.878801261
2018,15,6094193,16.841274628
2018,16,5750390,17.998762442
2018,17,6473651,17.181374394
2018,18,7179060,16.349538717
2018,19,6888547,15.846689258
2018,20,6237025,15.91046699
2018,21,6179131,16.372402341
2018,22,5808477,16.61163599
2018,23,4776032,16.967831099
2019,0,2533608,19.799332107
2019,1,1761753,18.744474475
2019,2,1221328,18.000860097
2019,3,855804,19.03359823
2019,4,672155,21.811087532
2019,5,797021,23.682011515
2019,6,1804118,19.651831842
2019,7,3144844,18.206426284
2019,8,3948483,18.287577966
2019,9,4036186,18.221371126
2019,10,4076034,18.442357507
2019,11,4270684,18.449500562
2019,12,4529199,18.780498439
2019,13,4576640,19.146490399
2019,14,4819490,19.66163327
2019,15,4851806,19.837861097
2019,16,4584101,20.902445961
2019,17,5155044,20.043728038
2019,18,5668105,19.105206227
2019,19,5344337,18.940214178
2019,20,4870704,18.916757333
2019,21,4806964,19.207208974
2019,22,4462152,19.372424552
2019,23,3530491,19.7454246
2020,0,534611,19.978144109
2020,1,370083,19.774764472
2020,2,251287,19.470464608
2020,3,187997,21.460337612
2020,4,160087,25.597993466
2020,5,200536,23.573530488
2020,6,499289,19.079567165
2020,7,892813,17.446385783
2020,8,1174826,17.266818414
2020,9,1200965,18.002997806
2020,10,1239319,17.972094392
2020,11,1317998,17.104792587
2020,12,1435478,17.281658688
2020,13,1476313,17.892893092
2020,14,1572301,18.02766062
2020,15,1599388,18.317457909
2020,16,1524740,19.395732387
2020,17,1635659,19.403366875
2020,18,1682769,18.467149121
2020,19,1462527,18.325064447
2020,20,1218537,19.125946352
2020,21,1131701,19.02227143
2020,22,1015709,19.413127549
2020,23,768930,19.753130025
2021,0,684424,21.407932656
2021,1,436806,20.384780406
2021,2,284990,19.90451886
2021,3,181783,20.913234021
2021,4,131740,25.774459162
2021,5,179426,28.671333029
2021,6,481836,23.267257864
2021,7,887111,20.132964691
2021,8,1234682,19.026741444
2021,9,1398409,18.667908959
2021,10,1564893,18.541740528
2021,11,1714993,18.546195944
2021,12,1879090,19.06130213
2021,13,1930217,19.271771407
2021,14,2081906,19.567991514
2021,15,2120210,20.016782809
2021,16,2045110,21.045505283
2021,17,2162314,20.351781786
2021,18,2199464,19.840699148
2021,19,1922521,19.246964569
2021,20,1552966,19.393715407
2021,21,1407371,19.900998365
2021,22,1275040,20.677018666
2021,23,1006227,21.265700334
2022,0,1093085,22.824923935
2022,1,718752,21.188076597
2022,2,478845,20.286265639
2022,3,315978,21.364296723
2022,4,217351,27.475746143
2022,5,249756,30.799368063
2022,6,611930,24.898038697
2022,7,1135196,21.884287797
2022,8,1511118,21.218741223
2022,9,1699686,20.867813596
2022,10,1876805,20.486235102
2022,11,2038191,20.936581758
2022,12,2200021,21.241170902
2022,13,2246503,21.876064684
2022,14,2401078,22.531174335
2022,15,2462440,22.807323374
2022,16,2443359,23.729061546
2022,17,2652350,22.641627195
2022,18,2781899,21.294935204
2022,19,2517471,21.004093167
2022,20,2174287,21.006583593
2022,21,2090146,21.384147954
2022,22,1924840,22.135208771
2022,23,1558328,22.92379963
2023,0,1073689,29.436629368
2023,1,720496,26.97074228
2023,2,475417,25.581879823
2023,3,313608,26.923991544
2023,4,212742,34.225077982
2023,5,222778,39.094885357
2023,6,526468,32.291435491
2023,7,1036452,27.961078323
2023,8,1436180,26.922831853
2023,9,1619780,27.080171387
2023,10,1758134,27.372646101
2023,11,1908288,27.532669649
2023,12,2071491,27.950227112
2023,13,2136104,29.085598594
2023,14,2289055,30.036416028
2023,15,2348143,30.011008844
2023,16,2350453,31.895329709
2023,17,2557378,30.239841736
2023,18,2678660,28.542765237
2023,19,2392905,28.582919347
2023,20,2131714,28.346089724
2023,21,2130001,28.443495735
2023,22,1973626,29.332584335
2023,23,1562779,30.711909617
2024,0,1165374,28.960898149
2024,1,756923,26.391281795
2024,2,491900,24.786281358
2024,3,322363,26.020825746
2024,4,236486,32.409698587
2024,5,257429,37.370004234
2024,6,574727,30.857442873
2024,7,1117091,27.461892979
2024,8,1542142,26.589217737
2024,9,1685163,26.716868149
2024,10,1804348,27.23007866
2024,11,1960280,27.474934999
2024,12,2143663,27.999575983
2024,13,2229054,28.933106367
2024,14,2391433,29.946212806
2024,15,2469270,29.944033334
2024,16,2516197,31.970179088
2024,17,2764278,29.988899727
2024,18,2903085,28.491898146
2024,19,2549620,28.542539669
2024,20,2313238,28.071582799
2024,21,2360729,28.042343039
2024,22,2184729,28.772551621
2024,23,1694710,29.862664715
2025,0,505928,28.322070552
2025,1,333001,26.242449152
2025,2,216652,24.980084144
2025,3,146758,25.846419275
2025,4,109625,31.457937879
2025,5,119457,35.628237776
2025,6,248195,30.260032233
2025,7,489749,27.343530727
2025,8,674776,26.000652676
2025,9,719769,26.125320624
2025,10,756451,26.69362227
2025,11,811412,26.887524525
2025,12,884486,28.290945781
2025,13,927294,27.969146021
2025,14,997068,29.069769113
2025,15,1039418,29.015607888
2025,16,1063681,30.660204638
2025,17,1198917,29.158098384
2025,18,1269235,27.549577754
2025,19,1113320,27.773774279
2025,20,1023382,27.284229281
2025,21,1045856,27.532588339
2025,22,957410,28.004771655
2025,23,724165,28.871501177
